id,startdate,datestamp,duration,startlanguage,lastpage,PD1,PD2,PD3[SQ001],PD3[SQ002],PD3[SQ003],VD000a,VD000,VD001,VD002,VD100a,VD100,VD101,VD102,VD200a,VD200,VD201,VD202,SP4[SQ004],SP4[SQ005],SP4[SQ007],WB1,WB2[SQ001],WB2[SQ002],WB3[SQ001],WB3[SQ002],WB4[SQ001],WB4[SQ002],WB4[SQ003],WB4[SQ004]
15,2024-04-15 13:01:38,2024-04-15 13:06:53,314,EN,20,A1,18,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,5,4,1,5,,,5,5,5,5
16,2024-04-15 13:03:02,2024-04-15 13:15:07,724,EN,20,A1,22,Y,,,Y,A2,,A2,Y,A1,A1,,Y,A1,A1,,4,4,4,4,1,4,2,1,4,4,4,4
17,2024-04-15 13:24:05,2024-04-15 13:28:44,278,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,3,5,1,5,3,1,4,3,4,2
18,2024-04-15 13:31:46,2024-04-15 13:36:44,297,EN,20,A2,21,Y,,,Y,A1,,,Y,A1,,,Y,A2,,,5,4,3,5,1,5,2,2,4,4,3,4
19,2024-04-15 13:38:25,2024-04-15 13:41:52,207,EN,20,A2,22,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,2,2,3,5,5,5,3,2,4,4,3,3
20,2024-04-15 13:48:29,2024-04-15 13:53:34,304,EN,20,A2,23,Y,,,Y,A1,,,Y,A1,A1,A2,Y,A2,A1,A2,4,5,2,5,,5,1,1,4,4,3,2
21,2024-04-15 13:58:15,2024-04-15 14:00:46,150,EN,20,A1,21,Y,,Y,Y,A2,A1,,N,A2,A1,,Y,A2,A1,,5,5,3,,,,1,,4,,,
22,2024-04-15 13:59:02,2024-04-15 14:03:15,252,EN,20,A4,24,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,4,4,3,3,3,5,3,1,5,5,2,2
23,2024-04-15 13:59:47,2024-04-15 14:05:18,330,EN,20,A1,24,Y,,,Y,A2,,A2,Y,A1,,A2,Y,A1,,A2,2,4,2,4,1,5,2,2,5,5,4,5
24,2024-04-15 13:59:54,2024-04-15 14:05:44,349,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,3,5,2,5,1,1,4,2,4,4
25,2024-04-15 13:09:26,2024-04-15 14:06:51,3443,EN,20,A2,20,Y,,,Y,A1,,,Y,A1,,,Y,A1,,,4,3,4,,,,,,,,,
26,2024-04-15 14:11:01,2024-04-15 14:14:16,194,EN,20,A2,22,Y,,,Y,A2,,,Y,A1,,,Y,A1,,,2,4,3,5,5,5,3,2,3,3,4,4
27,2024-04-15 14:10:44,2024-04-15 14:14:22,217,EN,20,A2,23,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,4,4,0,1,1,1,1,2,2,5,4
28,2024-04-15 14:17:51,2024-04-15 14:22:10,259,EN,20,A2,21,Y,,,Y,A1,A1,A2,Y,A1,A1,,Y,A2,A1,,4,5,5,2,1,4,1,1,2,2,4,5
29,2024-04-15 14:20:30,2024-04-15 14:24:03,212,EN,20,A2,22,Y,,,Y,A1,,,Y,A1,A1,,Y,A1,,,4,5,4,4,5,5,1,1,3,2,4,2
30,2024-04-15 14:56:26,2024-04-15 15:01:53,325,EN,20,A1,20,Y,,,Y,A2,,A2,Y,A1,A1,A2,Y,A1,A1,A2,3,3,2,4,1,5,1,1,5,5,4,5
31,2024-04-15 15:03:10,2024-04-15 15:07:45,274,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,4,1,3,5,5,2,1,5,5,5,5
32,2024-04-15 15:25:16,2024-04-15 15:33:54,517,EN,20,A1,24,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,3,5,2,7,5,5,1,1,4,3,4,5
33,2024-04-15 16:47:32,2024-04-15 16:50:54,201,EN,20,A4,21,Y,,,Y,A1,,,Y,A1,,,Y,A1,,,5,4,3,5,,4,4,4,5,5,4,4
34,2024-04-15 18:25:26,2024-04-15 18:29:40,252,EN,20,A1,19,Y,,,Y,A2,A1,,Y,A1,A1,A2,Y,A1,A1,A2,3,4,2,4,,4,3,2,4,4,3,4
35,2024-04-15 19:41:37,2024-04-15 19:46:29,291,EN,20,A1,21,Y,,,Y,A1,,,Y,A1,A1,,Y,A1,A1,,4,4,4,4,1,4,1,1,4,2,4,5
36,2024-04-15 19:55:15,2024-04-15 19:59:01,225,EN,20,A2,20,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,5,5,1,5,5,1,4,3,5,5
37,2024-04-15 21:30:11,2024-04-15 21:34:43,271,EN,20,A2,21,Y,,,Y,A1,,,Y,A1,,,Y,A1,,,3,4,2,4,1,5,1,1,5,4,2,2
38,2024-04-15 21:31:17,2024-04-15 21:35:15,237,EN,20,A2,19,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,4,3,4,1,5,3,3,5,5,5,5
39,2024-04-15 21:33:52,2024-04-15 21:38:45,291,EN,20,A2,21,Y,,,Y,A1,A1,A2,Y,A2,A1,A2,Y,A2,A1,A2,5,4,4,5,,5,1,1,4,,5,2
40,2024-04-15 21:38:56,2024-04-15 21:42:11,194,EN,20,A3,23,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,4,4,4,5,3,5,3,3,4,5,5,4
41,2024-04-15 21:44:01,2024-04-15 21:49:04,302,EN,20,A1,20,Y,,,Y,A2,,,Y,A1,,,Y,A1,,,2,4,4,5,1,5,3,3,4,4,4,4
42,2024-04-15 22:05:15,2024-04-15 22:07:15,119,EN,20,A2,18,Y,,,Y,A1,,,N,A1,,,N,A1,,A2,,,,,,,,,,,,
43,2024-04-15 23:09:35,2024-04-15 23:13:29,232,EN,20,A1,22,Y,,,Y,A1,A1,A2,Y,A1,A1,,Y,A1,A1,,4,3,2,4,1,5,4,1,4,4,5,3
44,2024-04-16 12:37:46,2024-04-16 12:40:37,171,EN,20,A1,22,Y,,,Y,A2,,A2,Y,A1,A1,,N,A2,,A2,3,4,1,0,1,3,1,1,2,1,2,1
45,2024-04-16 12:35:56,2024-04-16 12:42:36,398,EN,20,A1,21,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,3,4,1,2,2,2,1,1,4,4,4,2
46,2024-04-16 22:03:24,2024-04-16 22:58:04,3279,EN,20,A2,19,Y,,,Y,A1,A1,,Y,A1,,,Y,A1,A1,,5,5,4,5,,5,1,1,4,4,5,5
47,2024-04-17 06:47:49,2024-04-17 06:52:39,289,EN,20,A4,18,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,4,3,4,1,5,3,1,4,4,3,3
48,2024-04-17 07:11:39,2024-04-17 07:15:57,257,EN,20,A1,20,Y,,,Y,A2,,,Y,A1,A1,,Y,A1,A1,,4,4,3,6,1,4,3,1,5,4,4,4
49,2024-04-17 07:29:58,2024-04-17 07:33:38,219,EN,20,A2,20,Y,,,Y,A1,A1,A2,Y,A1,A1,,Y,A1,A1,,3,4,3,6,1,5,3,1,5,5,4,4
50,2024-04-17 07:30:30,2024-04-17 07:34:35,243,EN,20,A2,18,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,5,4,5,5,3,2,2,1,3,3
51,2024-04-17 07:30:24,2024-04-17 07:34:43,258,EN,20,A1,21,Y,,,Y,A2,,,Y,A1,A1,,Y,A1,A1,,4,3,2,4,1,5,1,1,5,4,3,4
52,2024-04-17 07:30:18,2024-04-17 07:35:09,290,EN,20,A2,19,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,4,4,5,,2,1,3,,5,4
53,2024-04-17 07:29:39,2024-04-17 07:37:28,468,EN,20,A2,20,Y,,,Y,A1,,,Y,A1,,A2,Y,A1,,,5,5,2,5,1,4,2,2,3,3,4,4
54,2024-04-17 10:07:24,2024-04-17 10:12:07,282,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,1,5,5,5,5,1,1,5,5,5,5
55,2024-04-17 11:16:15,2024-04-17 11:20:34,258,EN,20,A2,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,5,4,,5,1,1,4,4,5,4
56,2024-04-17 11:29:28,2024-04-17 11:36:35,426,EN,20,A1,21,Y,,,Y,A1,,,Y,A1,A1,A2,Y,A2,A1,A2,2,3,2,4,1,4,1,1,5,5,5,5
57,2024-04-17 13:24:34,2024-04-17 13:28:14,219,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,3,5,3,4,1,5,1,2,5,5,4,4
58,2024-04-17 13:22:01,2024-04-17 13:30:03,480,EN,20,A1,23,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,5,5,4,4,2,5,1,1,4,3,4,3
59,2024-04-17 15:16:15,2024-04-17 15:21:53,337,EN,20,A1,22,Y,,,Y,A2,,,Y,A1,,,Y,A2,A1,,4,1,1,4,4,,3,2,4,4,4,3
60,2024-04-17 15:23:15,2024-04-17 15:31:26,490,EN,20,A1,22,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,5,5,4,4,1,5,1,1,5,5,5,5
61,2024-04-17 16:16:03,2024-04-17 16:19:03,179,EN,20,A1,22,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,5,5,1,4,1,5,1,1,5,5,5,3
62,2024-04-17 16:36:21,2024-04-17 16:42:51,389,EN,20,A2,24,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,5,5,5,2,2,3,1,1,3,3,3,3
63,2024-04-17 17:05:53,2024-04-17 17:10:14,260,EN,20,A2,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,4,5,1,3,4,3,2,4,4,4
64,2024-04-17 17:31:01,2024-04-17 17:36:18,316,EN,20,A1,22,Y,,,Y,A2,A1,,Y,A1,A1,,Y,A1,A1,,4,4,3,5,,4,3,2,4,4,4,4
65,2024-04-19 15:10:16,2024-04-19 15:19:16,539,EN,20,A2,21,Y,Y,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,5,5,4,5,4,5,4,3,2,3,4,4
66,2024-04-19 15:14:19,2024-04-19 15:20:14,354,EN,20,A1,22,Y,Y,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,4,5,4,4,1,1,5,5,4,4
67,2024-04-15 14:10:06,2024-04-21 16:39:18,156,EN,20,A1,22,Y,,,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,,,,,,,,,,,,
68,2024-04-21 16:40:04,2024-04-21 16:40:42,36,EN,20,A2,25,Y,Y,Y,Y,A1,A1,,Y,A1,A1,,Y,A1,A1,,4,5,3,5,5,,1,1,4,4,4,4
69,2024-04-21 16:41:35,2024-04-21 16:42:10,34,EN,20,A2,19,Y,,,Y,A1,A1,A2,Y,A1,A1,,Y,A1,A1,A2,5,5,4,4,,5,1,1,4,2,3,3
70,2024-04-21 16:42:20,2024-04-21 16:42:54,32,EN,20,A2,23,Y,,,Y,A1,A1,,Y,A1,A1,A2,Y,A1,A1,,3,4,2,4,,4,2,1,2,1,4,4
71,2024-04-21 16:43:04,2024-04-21 16:43:37,32,EN,20,A2,22,Y,,,Y,A2,A1,A2,Y,A1,A1,,Y,A1,A1,,5,5,5,5,1,5,1,1,5,4,5,4
